device_id,hostname,asset_type,department,owner,criticality,operating_system,criticality_raw,quality_flags
D0035,PHF-SRV-0035,Mobile,Regions,Juridique,MEDIUM,Windows Server 2019,Medium,
D0075,PHF-VM-0075,Server,Regions,Regions,CRITICAL,Windows 11,Critical,
D0051,PHF-SRV-0051,VM,Regions,Regions,CRITICAL,macOS 14,Critical,
D0137,PHF-WS-0137,Mobile,Juridique,Regions,CRITICAL,Windows 10,Critical,
D0078,PHF-LT-0078,Desktop,Communication,Communication,MEDIUM,Windows 10,MEDIUM,
D0160,PHF-VM-0160,Server,Direction,Communication,CRITICAL,macOS 14,CRITICAL,
D0027,PHF-VM-0027,Laptop,Communication,Juridique,MEDIUM,Windows Server 2022,MEDIUM,
D0176,PHF-VM-0176,Server,Juridique,Direction,,Windows 10,,MISSING_CRITICALITY
D0182,PHF-WS-0182,Desktop,RH,Communication,HIGH,Windows 11,HIGH,
D0190,PHF-LT-0190,Laptop,Juridique,RH,CRITICAL,Windows Server 2022,Critical,
D0099,PHF-SRV-0099,VM,Juridique,RH,,Windows Server 2022,,MISSING_CRITICALITY
D0037,PHF-VM-0037,Laptop,Juridique,Communication,HIGH,Windows Server 2022,High,
D0022,PHF-LT-0022,Mobile,IT,Finance,CRITICAL,Windows Server 2022,Critical,
D0065,PHF-WS-0065,Mobile,Communication,RH,MEDIUM,Windows 11,MEDIUM,
D0042,PHF-VM-0042,Mobile,RH,Regions,HIGH,macOS 14,High,
D0023,PHF-WS-0023,Desktop,IT,RH,HIGH,Windows Server 2022,HIGH,
D0150,PHF-WS-0150,Mobile,Finance,Finance,MEDIUM,Ubuntu 22.04,Medium,
D0040,PHF-WS-0040,Mobile,IT,Communication,HIGH,Windows Server 2019,High,
D0068,PHF-VM-0068,Mobile,Finance,Regions,HIGH,macOS 14,High,
D0057,PHF-VM-0057,Server,IT,IT,HIGH,Ubuntu 22.04,High,
D0067,PHF-WS-0067,Mobile,RH,,LOW,Ubuntu 22.04,Low,MISSING_OWNER
D0100,PHF-LT-0100,VM,Finance,Regions,CRITICAL,Windows 11,Critical,
D0026,PHF-VM-0026,Desktop,IT,RH,CRITICAL,Windows 11,Critical,
D0126,PHF-SRV-0126,Desktop,Juridique,RH,CRITICAL,macOS 14,CRITICAL,
D0166,PHF-SRV-0166,Mobile,Communication,Finance,CRITICAL,Windows Server 2019,CRITICAL,
D0090,PHF-VM-0090,VM,Finance,Communication,MEDIUM,Windows Server 2019,Medium,
