event_id,timestamp,user_id,src_ip,device_id,event_type,authentication_result,location,severity,timestamp_raw,timestamp_format_raw,src_ip_raw,authentication_result_raw,severity_raw,quality_flags
AUTH002391,2026-03-10 02:31:16,U0247,10.14.245.152,D0098,VPN_CONNECT,SUCCESS,Lille,LOW,2026-03-10 02:31:16,iso_space,10.14.245.152,success,LOW,
AUTH001438,2026-03-19 13:53:30,U0090,10.20.221.161,D0030,MFA_CHALLENGE,SUCCESS,Nantes,LOW,2026-03-19 13:53:30,iso_space,10.20.221.161,Success,low,
AUTH001801,2026-03-10 09:19:00,U0331,10.42.70.40,D0004,PASSWORD_CHANGE,SUCCESS,Nantes,MEDIUM,10/03/2026 09:19,fr_minute,10.42.70.40,SUCCESS,MEDIUM,
AUTH002344,2026-03-09 11:04:58,U0199,10.23.20.8,D0008,LOGIN,SUCCESS,Bordeaux,MEDIUM,2026-03-09 11:04:58,iso_space,10.23.20.8,SUCCESS,medium,
AUTH000264,2026-03-05 15:14:01,U0030,10.32.221.253,D0131,PASSWORD_CHANGE,SUCCESS,Lyon,LOW,2026-03-05 15:14:01,iso_space,10.32.221.253,SUCCESS,Low,
AUTH003983,2026-03-17 12:53:21,U0268,10.27.240.42,D0025,PASSWORD_CHANGE,SUCCESS,Bordeaux,LOW,2026-03-17 12:53:21,iso_space,10.27.240.42,SUCCESS,LOW,
AUTH003271,2026-03-19 16:41:00,U0311,10.18.172.152,D0124,VPN_CONNECT,SUCCESS,Toulouse,MEDIUM,19/03/2026 16:41,fr_minute,10.18.172.152,SUCCESS,Medium,
AUTH001553,2026-03-07 17:05:00,U0105,10.5.177.104,D0163,PASSWORD_CHANGE,SUCCESS,Paris,MEDIUM,07/03/2026 17:05,fr_minute,10.5.177.104,Success,MEDIUM,
AUTH004715,2026-03-12 02:14:00,U0007,154.105.70.161,D0003,LOGIN,FAILURE,Bucharest,HIGH,12/03/2026 02:14,fr_minute,154.105.70.161,FAILED,high,
AUTH001928,2026-03-17 12:30:05,U0109,10.9.24.28,D0051,MFA_CHALLENGE,SUCCESS,Marseille,MEDIUM,2026-03-17T12:30:05Z,iso_z,10.9.24.28,SUCCESS,medium,
AUTH001787,2026-03-11 08:08:57,U0069,10.12.164.249,D0129,LOGIN,SUCCESS,Bordeaux,LOW,2026-03-11T08:08:57Z,iso_z,10.12.164.249,success,low,
AUTH003651,2026-03-05 11:36:00,U0291,10.20.17.212,D0015,LOGIN,SUCCESS,Bordeaux,LOW,05/03/2026 11:36,fr_minute,10.20.17.212,SUCCESS,LOW,
AUTH003337,2026-03-11 17:14:00,U0127,10.14.143.127,D0037,RDP_SESSION,SUCCESS,Bordeaux,MEDIUM,11/03/2026 17:14,fr_minute,10.14.143.127,Success,medium,
AUTH000316,2026-03-12 16:31:55,U0275,10.13.43.115,D0003,LOGIN,SUCCESS,Bordeaux,LOW,2026-03-12 16:31:55,iso_space,10.13.43.115,SUCCESS,Low,
AUTH004552,2026-03-08 09:08:00,U0241,10.33.99.145,D0028,RDP_SESSION,SUCCESS,Paris,MEDIUM,08/03/2026 09:08,fr_minute,10.33.99.145,Success,MEDIUM,
AUTH001498,2026-03-18 10:02:00,U0012,10.23.13.149,D0076,PASSWORD_CHANGE,SUCCESS,Marseille,MEDIUM,18/03/2026 10:02,fr_minute,10.23.13.149,success,Medium,
AUTH003530,2026-03-21 16:51:50,U0087,10.44.138.237,D0025,LOGOUT,SUCCESS,Paris,LOW,2026-03-21 16:51:50,iso_space,10.44.138.237,Success,Low,
AUTH002766,2026-03-09 18:35:00,U0261,10.32.11.19,D0042,MFA_CHALLENGE,SUCCESS,Paris,LOW,09/03/2026 18:35,fr_minute,10.32.11.19,success,LOW,
AUTH001332,2026-03-07 15:43:19,U0130,10.49.110.110,D0130,VPN_CONNECT,FAILURE,Lille,MEDIUM,2026-03-07T15:43:19Z,iso_z,10.49.110.110,FAILURE,medium,
AUTH003578,2026-03-08 18:40:34,U0373,10.8.222.69,D0145,LOGIN,SUCCESS,Bordeaux,MEDIUM,2026-03-08T18:40:34Z,iso_z,10.8.222.69,success,medium,
AUTH000137,2026-03-14 13:46:40,U0171,10.24.1.108,D0078,RDP_SESSION,FAILURE,Bordeaux,LOW,2026-03-14 13:46:40,iso_space,10.24.1.108,failed,LOW,
AUTH002995,2026-03-05 17:38:51,U0286,10.15.77.82,D0126,MFA_CHALLENGE,SUCCESS,Nantes,LOW,2026-03-05T17:38:51Z,iso_z,10.15.77.82,success,low,
AUTH000848,2026-03-02 09:22:05,U0109,10.23.25.203,D0106,MFA_CHALLENGE,SUCCESS,Lyon,MEDIUM,2026-03-02T09:22:05Z,iso_z,10.23.25.203,SUCCESS,Medium,
AUTH003319,2026-03-16 13:13:52,U0177,10.10.117.183,D0163,RDP_SESSION,SUCCESS,Marseille,MEDIUM,2026-03-16T13:13:52Z,iso_z,10.10.117.183,success,MEDIUM,
AUTH003332,2026-03-09 11:17:42,U0012,10.10.98.138,D0080,RDP_SESSION,SUCCESS,Lyon,LOW,2026-03-09T11:17:42Z,iso_z,10.10.98.138,Success,LOW,
AUTH001049,2026-03-19 10:28:48,U0014,10.9.163.56,D0008,PASSWORD_CHANGE,SUCCESS,Lille,MEDIUM,2026-03-19T10:28:48Z,iso_z,10.9.163.56,SUCCESS,Medium,
AUTH003466,2026-03-14 09:09:50,U0204,10.40.223.240,D0150,MFA_CHALLENGE,SUCCESS,Nantes,MEDIUM,2026-03-14T09:09:50Z,iso_z,10.40.223.240,Success,Medium,
AUTH001848,2026-03-11 12:14:00,U0203,10.22.57.23,D0066,MFA_CHALLENGE,SUCCESS,Marseille,MEDIUM,11/03/2026 12:14,fr_minute,10.22.57.23,SUCCESS,MEDIUM,
AUTH000309,2026-03-19 16:59:05,U0243,10.28.137.174,D0046,RDP_SESSION,SUCCESS,Toulouse,MEDIUM,2026-03-19T16:59:05Z,iso_z,10.28.137.174,Success,Medium,
AUTH002180,2026-03-10 18:28:00,U0305,10.10.31.190,D0044,VPN_CONNECT,SUCCESS,Toulouse,LOW,10/03/2026 18:28,fr_minute,10.10.31.190,success,low,
AUTH002688,2026-03-09 15:25:07,U0158,10.4.199.242,D0054,RDP_SESSION,SUCCESS,Toulouse,LOW,2026-03-09 15:25:07,iso_space,10.4.199.242,SUCCESS,LOW,
AUTH001379,2026-03-14 17:56:40,U0371,10.35.24.78,D0198,MFA_CHALLENGE,SUCCESS,Marseille,LOW,2026-03-14 17:56:40,iso_space,10.35.24.78,success,LOW,
AUTH001622,2026-03-03 17:40:00,U0139,10.30.11.181,D0029,RDP_SESSION,SUCCESS,Bordeaux,MEDIUM,03/03/2026 17:40,fr_minute,10.30.11.181,SUCCESS,medium,
AUTH003678,2026-03-03 11:47:36,U0125,10.49.114.238,D0169,VPN_CONNECT,SUCCESS,Lille,LOW,2026-03-03 11:47:36,iso_space,10.49.114.238,Success,Low,
AUTH004397,2026-03-21 17:37:00,U0190,10.22.137.150,D0157,VPN_CONNECT,SUCCESS,Nantes,MEDIUM,21/03/2026 17:37,fr_minute,10.22.137.150,success,medium,
AUTH002756,2026-03-11 14:51:41,U0150,10.42.125.38,D0051,LOGIN,SUCCESS,Paris,MEDIUM,2026-03-11T14:51:41Z,iso_z,10.42.125.38,success,Medium,
AUTH001922,2026-03-14 13:16:00,U0260,10.12.180.85,D0076,LOGOUT,SUCCESS,Toulouse,LOW,14/03/2026 13:16,fr_minute,10.12.180.85,Success,Low,
AUTH000148,2026-03-11 10:48:00,U0058,10.48.196.146,D0080,VPN_CONNECT,SUCCESS,Marseille,LOW,11/03/2026 10:48,fr_minute,10.48.196.146,Success,low,
AUTH004838,2026-03-08 14:06:44,U0196,99.29.47.39,D0144,VPN_CONNECT,SUCCESS,Bucharest,MEDIUM,2026-03-08T14:06:44Z,iso_z,99.29.47.39,success,medium,
AUTH002773,2026-03-12 18:48:00,U0345,10.33.247.153,D0142,RDP_SESSION,SUCCESS,Nantes,LOW,12/03/2026 18:48,fr_minute,10.33.247.153,Success,LOW,
AUTH000593,2026-03-06 14:32:00,U0005,10.6.202.63,D0172,PASSWORD_CHANGE,SUCCESS,Marseille,MEDIUM,06/03/2026 14:32,fr_minute,10.6.202.63,Success,Medium,
AUTH002250,2026-03-17 14:33:00,U0261,10.2.82.218,D0124,PASSWORD_CHANGE,SUCCESS,Marseille,LOW,17/03/2026 14:33,fr_minute,10.2.82.218,SUCCESS,low,
AUTH004105,2026-03-16 12:11:00,U0288,10.22.23.58,D0058,PASSWORD_CHANGE,SUCCESS,Paris,LOW,16/03/2026 12:11,fr_minute,10.22.23.58,SUCCESS,LOW,
AUTH004181,2026-03-03 10:31:38,U0355,10.15.180.124,D0065,PASSWORD_CHANGE,SUCCESS,Bordeaux,MEDIUM,2026-03-03 10:31:38,iso_space,10.15.180.124,success,Medium,
AUTH000909,2026-03-21 08:54:10,U0377,10.24.19.171,D0012,LOGIN,SUCCESS,Paris,LOW,2026-03-21 08:54:10,iso_space,10.24.19.171,Success,Low,
AUTH002011,2026-03-10 17:50:50,U0168,10.0.120.57,D0153,VPN_CONNECT,FAILURE,Nantes,MEDIUM,2026-03-10T17:50:50Z,iso_z,10.0.120.57,failed,medium,
AUTH004219,2026-03-13 14:12:00,U0125,10.20.178.8,D0043,PASSWORD_CHANGE,SUCCESS,Lyon,MEDIUM,13/03/2026 14:12,fr_minute,10.20.178.8,SUCCESS,MEDIUM,
AUTH000731,2026-03-20 13:33:00,U0225,10.24.53.17,D0039,RDP_SESSION,SUCCESS,Paris,LOW,20/03/2026 13:33,fr_minute,10.24.53.17,success,low,
AUTH002179,2026-03-13 10:24:00,U0004,10.46.124.215,D0099,VPN_CONNECT,SUCCESS,Bordeaux,LOW,13/03/2026 10:24,fr_minute,10.46.124.215,SUCCESS,LOW,
AUTH000061,2026-03-19 09:05:36,U0177,10.20.40.169,D0145,LOGIN,SUCCESS,Toulouse,LOW,2026-03-19T09:05:36Z,iso_z,10.20.40.169,Success,low,
AUTH003095,2026-03-05 09:17:39,U0124,10.16.50.12,D0097,LOGIN,FAILURE,Toulouse,MEDIUM,2026-03-05T09:17:39Z,iso_z,10.16.50.12,FAILED,Medium,
AUTH003788,2026-03-15 10:05:00,U0190,10.13.240.106,D0087,LOGIN,SUCCESS,Lyon,MEDIUM,15/03/2026 10:05,fr_minute,10.13.240.106,SUCCESS,MEDIUM,
AUTH000388,2026-03-07 16:30:12,U0051,10.18.76.224,D0155,RDP_SESSION,SUCCESS,Bordeaux,MEDIUM,2026-03-07 16:30:12,iso_space,10.18.76.224,success,medium,
AUTH001064,2026-03-07 15:22:12,U0338,10.6.99.45,D0173,MFA_CHALLENGE,FAILURE,Bordeaux,MEDIUM,2026-03-07 15:22:12,iso_space,10.6.99.45,failed,medium,
AUTH001670,2026-03-04 12:36:13,U0176,10.25.219.39,D0127,LOGOUT,SUCCESS,Paris,LOW,2026-03-04 12:36:13,iso_space,10.25.219.39,SUCCESS,LOW,
AUTH003178,2026-03-13 03:17:00,U0227,10.36.201.206,D0012,VPN_CONNECT,SUCCESS,Toulouse,LOW,13/03/2026 03:17,fr_minute,10.36.201.206,success,LOW,
AUTH001603,2026-03-07 18:42:18,U0165,10.5.55.219,D0109,LOGOUT,SUCCESS,Lyon,MEDIUM,2026-03-07T18:42:18Z,iso_z,10.5.55.219,SUCCESS,Medium,
AUTH001735,2026-03-16 12:50:22,U0141,10.12.204.39,D0091,MFA_CHALLENGE,SUCCESS,Toulouse,LOW,2026-03-16 12:50:22,iso_space,10.12.204.39,success,low,
AUTH003684,2026-03-02 14:48:44,U0328,10.50.214.198,D0125,PASSWORD_CHANGE,SUCCESS,Nantes,MEDIUM,2026-03-02T14:48:44Z,iso_z,10.50.214.198,success,medium,
AUTH003738,2026-03-09 19:36:00,U0089,10.15.122.151,D0155,MFA_CHALLENGE,SUCCESS,Marseille,MEDIUM,09/03/2026 19:36,fr_minute,10.15.122.151,Success,medium,
AUTH000372,2026-03-04 12:47:33,U0330,10.32.169.111,D0010,LOGIN,SUCCESS,Lille,LOW,2026-03-04T12:47:33Z,iso_z,10.32.169.111,Success,low,
AUTH001411,2026-03-07 19:20:43,U0012,10.13.110.73,D0012,MFA_CHALLENGE,SUCCESS,Marseille,MEDIUM,2026-03-07 19:20:43,iso_space,10.13.110.73,success,Medium,
AUTH002442,2026-03-11 18:10:27,U0214,10.8.84.184,D0107,RDP_SESSION,SUCCESS,Nantes,MEDIUM,2026-03-11 18:10:27,iso_space,10.8.84.184,Success,MEDIUM,
AUTH001257,2026-03-02 17:38:00,U0154,10.28.104.243,D0197,PASSWORD_CHANGE,SUCCESS,Lille,MEDIUM,02/03/2026 17:38,fr_minute,10.28.104.243,Success,Medium,
AUTH002063,2026-03-03 13:03:37,U0261,10.42.37.29,D0069,PASSWORD_CHANGE,SUCCESS,Nantes,MEDIUM,2026-03-03 13:03:37,iso_space,10.42.37.29,Success,medium,
AUTH001278,2026-03-04 13:17:00,U0051,10.6.27.51,D0141,MFA_CHALLENGE,SUCCESS,Bordeaux,LOW,04/03/2026 13:17,fr_minute,10.6.27.51,Success,LOW,
AUTH003387,2026-03-04 14:51:08,U0381,10.15.42.164,D0035,MFA_CHALLENGE,SUCCESS,Marseille,MEDIUM,2026-03-04 14:51:08,iso_space,10.15.42.164,Success,MEDIUM,
AUTH003916,2026-03-15 18:46:23,U0227,10.24.68.172,D0113,PASSWORD_CHANGE,SUCCESS,Nantes,MEDIUM,2026-03-15T18:46:23Z,iso_z,10.24.68.172,Success,medium,
AUTH002678,2026-03-22 18:29:39,U0006,10.36.91.206,D0020,LOGOUT,SUCCESS,Bordeaux,MEDIUM,2026-03-22 18:29:39,iso_space,10.36.91.206,Success,MEDIUM,
AUTH003980,2026-03-13 19:11:40,U0090,10.34.167.178,D0130,LOGIN,SUCCESS,Nantes,LOW,2026-03-13T19:11:40Z,iso_z,10.34.167.178,success,low,
