alert_id,timestamp,device_id,user_id,alert_type,process_name,severity,status,analyst_decision,timestamp_raw,timestamp_format_raw,severity_raw,quality_flags
EDR001382,2026-03-11 10:03:00,D0162,U0131,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 10:03:00,iso_space,HIGH,
EDR000843,2026-03-18 14:20:42,D0088,U0019,Unusual Network,outlook.exe,MEDIUM,Open,FALSE_POSITIVE,2026-03-18 14:20:42,iso_space,Medium,
EDR001258,2026-03-11 03:51:00,D0015,U0066,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 03:51:00,iso_space,High,
EDR001222,2026-03-11 02:03:00,D0094,U0030,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 02:03:00,iso_space,HIGH,
EDR000109,2026-03-12 15:18:33,D0185,U0041,PUP Detected,outlook.exe,LOW,In Progress,,2026-03-12 15:18:33,iso_space,Low,MISSING_ANALYST_DECISION
EDR001150,2026-03-09 13:36:04,D0102,U0252,PUP Detected,sccm_client.exe,MEDIUM,Closed,,2026-03-09T13:36:04Z,iso_z,Medium,MISSING_ANALYST_DECISION
EDR000161,2026-03-03 17:23:10,D0100,U0336,Unusual Network,outlook.exe,MEDIUM,In Progress,FALSE_POSITIVE,2026-03-03T17:23:10Z,iso_z,Medium,
EDR000269,2026-03-18 14:35:27,D0169,U0190,Unusual Network,python.exe,MEDIUM,In Progress,FALSE_POSITIVE,2026-03-18 14:35:27,iso_space,MEDIUM,
EDR000359,2026-03-13 15:43:33,D0046,U0292,PUP Detected,inventory_scan.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-13T15:43:33Z,iso_z,High,
EDR000541,2026-03-02 13:20:53,D0008,U0015,Suspicious Process,outlook.exe,MEDIUM,Closed,FALSE_POSITIVE,2026-03-02 13:20:53,iso_space,Medium,
EDR000733,2026-03-12 10:28:43,D0108,U0038,Unusual Network,chrome.exe,LOW,Open,FALSE_POSITIVE,2026-03-12 10:28:43,iso_space,low,
EDR000696,2026-03-08 09:39:57,D0186,U0350,Unusual Network,outlook.exe,HIGH,Open,FALSE_POSITIVE,2026-03-08 09:39:57,iso_space,High,
