event_id,timestamp,source,event_type,severity,user_id,device_id,src_ip,event_location,authentication_result,process_name,alert_status,analyst_decision,quality_flags,user_department,user_role,employment_status,privileged_account,user_location,asset_hostname,asset_type,asset_department,asset_owner,asset_criticality,operating_system
AUTH003692,2026-03-02 01:31:00,AUTHENTICATION,MFA_CHALLENGE,MEDIUM,U0190,D0154,10.27.255.130,Bordeaux,SUCCESS,,,,,IT,Manager,ACTIVE,YES,Toulouse,PHF-LT-0154,Mobile,Direction,Finance,HIGH,macOS 14
AUTH000733,2026-03-02 01:41:00,AUTHENTICATION,LOGOUT,LOW,U0008,D0029,10.21.247.242,Marseille,FAILURE,,,,,Regions,Technician,ACTIVE,NO,Lyon,PHF-WS-0029,Server,Communication,IT,CRITICAL,Windows 11
AUTH000859,2026-03-02 01:53:00,AUTHENTICATION,LOGIN,MEDIUM,U0343,D0025,10.12.238.24,Toulouse,SUCCESS,,,,,RH,Engineer,ACTIVE,NO,Marseille,PHF-WS-0025,Laptop,Juridique,RH,LOW,Windows Server 2019
AUTH002474,2026-03-02 02:32:15,AUTHENTICATION,PASSWORD_CHANGE,MEDIUM,U0202,D0053,10.42.152.134,Bordeaux,SUCCESS,,,,,Communication,Technician,ACTIVE,NO,Nantes,PHF-SRV-0053,Server,Juridique,Regions,MEDIUM,Windows 11
AUTH002027,2026-03-02 02:50:24,AUTHENTICATION,MFA_CHALLENGE,LOW,U0226,D0041,10.39.189.42,Lille,SUCCESS,,,,,Communication,Analyst,ACTIVE,NO,Marseille,PHF-SRV-0041,VM,Direction,Direction,CRITICAL,Windows Server 2019
AUTH001032,2026-03-02 02:54:15,AUTHENTICATION,LOGIN,LOW,U0018,D0186,10.8.85.206,Paris,SUCCESS,,,,,Direction,Assistant,ACTIVE,NO,Bordeaux,PHF-LT-0186,Laptop,IT,Direction,LOW,Ubuntu 22.04
AUTH001800,2026-03-02 04:27:42,AUTHENTICATION,VPN_CONNECT,MEDIUM,U0175,D0146,10.15.81.107,Lyon,SUCCESS,,,,,RH,Engineer,ACTIVE,YES,Lille,PHF-VM-0146,Laptop,IT,Juridique,HIGH,Windows Server 2022
AUTH002898,2026-03-02 08:00:49,AUTHENTICATION,LOGIN,LOW,U0045,D0137,10.47.106.159,Paris,SUCCESS,,,,,Juridique,Coordinator,ACTIVE,NO,Bordeaux,PHF-WS-0137,Mobile,Juridique,Regions,CRITICAL,Windows 10
AUTH000234,2026-03-02 08:05:29,AUTHENTICATION,LOGIN,MEDIUM,U0312,D0016,10.7.254.184,Lille,FAILURE,,,,,RH,Analyst,ACTIVE,NO,Nantes,PHF-SRV-0016,Server,RH,,MEDIUM,Windows Server 2019
EDR001624,2026-03-02 08:07:06,EDR,PUP Detected,MEDIUM,U0017,D0084,,,,mimikatz.exe,Open,NEEDS_INVESTIGATION,,Direction,Engineer,ACTIVE,NO,Lille,PHF-VM-0084,Server,IT,Direction,MEDIUM,Windows Server 2022
AUTH001969,2026-03-02 08:08:26,AUTHENTICATION,PASSWORD_CHANGE,MEDIUM,U0362,D0107,10.28.126.72,Toulouse,SUCCESS,,,,,IT,Engineer,ACTIVE,NO,Paris,PHF-SRV-0107,Mobile,Finance,Direction,,Windows Server 2022
AUTH002870,2026-03-02 08:10:16,AUTHENTICATION,LOGIN,MEDIUM,U0303,D0151,10.6.36.144,Lille,SUCCESS,,,,,IT,Assistant,ACTIVE,NO,Lyon,PHF-LT-0151,Mobile,Regions,Juridique,CRITICAL,Windows 11
EDR000979,2026-03-02 08:11:39,EDR,Suspicious Process,LOW,U0313,D0076,,,,outlook.exe,In Progress,,NOT_REVIEWED,Communication,Director,ACTIVE,NO,Paris,PHF-SRV-0076,Desktop,Finance,IT,MEDIUM,Windows Server 2019
AUTH000825,2026-03-02 08:16:48,AUTHENTICATION,RDP_SESSION,LOW,U0354,D0185,10.14.236.118,Lille,SUCCESS,,,,,Finance,Engineer,ACTIVE,NO,Lille,PHF-LT-0185,Desktop,Regions,Direction,CRITICAL,Windows 10
EDR000763,2026-03-02 08:17:01,EDR,Suspicious Process,MEDIUM,U0001,D0077,,,,chrome.exe,In Progress,FALSE_POSITIVE,,Communication,Analyst,ACTIVE,NO,Lille,PHF-LT-0077,VM,Juridique,Communication,MEDIUM,macOS 14
AUTH000038,2026-03-02 08:22:47,AUTHENTICATION,RDP_SESSION,MEDIUM,U0297,D0031,10.14.139.107,Bordeaux,SUCCESS,,,,,Direction,Director,ACTIVE,NO,Marseille,PHF-WS-0031,Mobile,Juridique,,MEDIUM,Windows 10
AUTH000240,2026-03-02 08:24:17,AUTHENTICATION,MFA_CHALLENGE,MEDIUM,U0259,D0198,10.49.211.96,Bordeaux,FAILURE,,,,,Communication,Analyst,ACTIVE,NO,Bordeaux,PHF-VM-0198,Mobile,Juridique,Communication,LOW,Ubuntu 22.04
AUTH001320,2026-03-02 08:28:52,AUTHENTICATION,MFA_CHALLENGE,MEDIUM,U0168,D0059,10.24.93.253,Paris,SUCCESS,,,,,Regions,Assistant,ACTIVE,NO,Marseille,PHF-WS-0059,Desktop,RH,Direction,,macOS 14
AUTH004078,2026-03-02 08:32:00,AUTHENTICATION,LOGIN,LOW,U0094,D0106,10.29.165.233,Lyon,SUCCESS,,,,,IT,Analyst,ACTIVE,NO,Paris,PHF-WS-0106,Laptop,Direction,Regions,LOW,Windows 11
AUTH002759,2026-03-02 08:32:54,AUTHENTICATION,PASSWORD_CHANGE,LOW,U0189,D0187,10.46.156.149,Marseille,SUCCESS,,,,,RH,Analyst,ACTIVE,NO,Lille,PHF-SRV-0187,Desktop,Finance,IT,HIGH,Windows Server 2019
EDR000181,2026-03-02 08:35:28,EDR,Suspicious Process,HIGH,U0112,D0059,,,,python.exe,Closed,FALSE_POSITIVE,,Finance,Coordinator,ACTIVE,NO,Toulouse,PHF-WS-0059,Desktop,RH,Direction,,macOS 14
AUTH001642,2026-03-02 08:36:42,AUTHENTICATION,PASSWORD_CHANGE,MEDIUM,U0334,D0119,10.9.207.40,Toulouse,SUCCESS,,,,,Communication,Coordinator,ACTIVE,NO,Toulouse,PHF-VM-0119,Laptop,IT,,LOW,Windows Server 2019
AUTH003503,2026-03-02 08:42:48,AUTHENTICATION,VPN_CONNECT,LOW,,D0023,10.43.42.52,Lyon,SUCCESS,,,,MISSING_USER_ID,,,,,,PHF-WS-0023,Desktop,IT,RH,HIGH,Windows Server 2022
EDR001675,2026-03-02 08:43:22,EDR,Unusual Network,CRITICAL,U0068,D0097,,,,chrome.exe,In Progress,,NOT_REVIEWED,Juridique,Assistant,ACTIVE,NO,Toulouse,PHF-VM-0097,Desktop,RH,Juridique,MEDIUM,macOS 14
AUTH002823,2026-03-02 08:46:16,AUTHENTICATION,MFA_CHALLENGE,LOW,U0311,D0099,10.48.180.88,Bordeaux,SUCCESS,,,,,Finance,Assistant,ACTIVE,NO,Bordeaux,PHF-SRV-0099,VM,Juridique,RH,,Windows Server 2022
AUTH000516,2026-03-02 08:48:00,AUTHENTICATION,PASSWORD_CHANGE,MEDIUM,U0129,D0090,10.21.153.22,Lyon,SUCCESS,,,,,Juridique,Technician,ACTIVE,NO,Lille,PHF-VM-0090,VM,Finance,Communication,MEDIUM,Windows Server 2019
AUTH001732,2026-03-02 08:49:00,AUTHENTICATION,LOGOUT,LOW,U0074,D0189,10.50.175.154,Lille,FAILURE,,,,,Finance,Coordinator,ACTIVE,NO,Bordeaux,PHF-SRV-0189,VM,Communication,Communication,MEDIUM,Windows Server 2022
AUTH003730,2026-03-02 08:49:00,AUTHENTICATION,LOGIN,MEDIUM,U0202,D0115,10.20.240.47,Paris,SUCCESS,,,,,Communication,Technician,ACTIVE,NO,Nantes,PHF-LT-0115,Mobile,Finance,Communication,,Windows 11
AUTH000937,2026-03-02 08:49:19,AUTHENTICATION,LOGOUT,LOW,U0139,D0111,10.12.121.38,Lyon,SUCCESS,,,,,IT,Assistant,ACTIVE,NO,Lyon,PHF-SRV-0111,Laptop,RH,Regions,HIGH,Windows Server 2019
EDR001120,2026-03-02 08:52:27,EDR,Suspicious Process,MEDIUM,U0324,D0015,,,,outlook.exe,Closed,FALSE_POSITIVE,,Direction,Analyst,ACTIVE,NO,Lille,PHF-WS-0015,Server,Communication,Finance,CRITICAL,Windows Server 2019
AUTH000899,2026-03-02 09:00:11,AUTHENTICATION,LOGOUT,MEDIUM,U0159,D0029,10.14.225.156,Paris,SUCCESS,,,,,Juridique,Assistant,ACTIVE,NO,Toulouse,PHF-WS-0029,Server,Communication,IT,CRITICAL,Windows 11
AUTH000695,2026-03-02 09:11:46,AUTHENTICATION,LOGOUT,LOW,U0208,D0146,10.9.204.240,Lyon,SUCCESS,,,,,Regions,Assistant,ACTIVE,NO,Lyon,PHF-VM-0146,Laptop,IT,Juridique,HIGH,Windows Server 2022
AUTH004413,2026-03-02 09:12:00,AUTHENTICATION,VPN_CONNECT,LOW,U0361,D0013,10.39.168.130,Bordeaux,SUCCESS,,,,,Communication,Assistant,ACTIVE,NO,Lyon,PHF-VM-0013,Desktop,Finance,,HIGH,Ubuntu 22.04
AUTH002780,2026-03-02 09:15:17,AUTHENTICATION,RDP_SESSION,LOW,U0029,D0189,10.27.51.9,Nantes,SUCCESS,,,,,Juridique,Engineer,ACTIVE,NO,Toulouse,PHF-SRV-0189,VM,Communication,Communication,MEDIUM,Windows Server 2022
EDR001761,2026-03-02 09:15:29,EDR,Malware Signature,HIGH,U0354,D0025,,,,psexec.exe,Closed,TRUE_POSITIVE,,Finance,Engineer,ACTIVE,NO,Lille,PHF-WS-0025,Laptop,Juridique,RH,LOW,Windows Server 2019
AUTH004207,2026-03-02 09:17:05,AUTHENTICATION,RDP_SESSION,MEDIUM,U0248,D0117,10.34.215.239,Marseille,SUCCESS,,,,,Direction,Engineer,ACTIVE,NO,Toulouse,PHF-WS-0117,Desktop,Finance,Finance,LOW,macOS 14
AUTH000848,2026-03-02 09:22:05,AUTHENTICATION,MFA_CHALLENGE,MEDIUM,U0109,D0106,10.23.25.203,Lyon,SUCCESS,,,,,Juridique,Assistant,ACTIVE,NO,Bordeaux,PHF-WS-0106,Laptop,Direction,Regions,LOW,Windows 11
EDR000047,2026-03-02 09:22:56,EDR,PUP Detected,LOW,U0295,D0069,,,,outlook.exe,Open,FALSE_POSITIVE,,Communication,Assistant,ACTIVE,YES,Lyon,PHF-LT-0069,Mobile,RH,Communication,HIGH,Windows 10
AUTH001368,2026-03-02 09:23:00,AUTHENTICATION,LOGIN,LOW,U0377,D0017,10.25.248.187,Nantes,SUCCESS,,,,,Direction,Coordinator,ACTIVE,NO,Toulouse,PHF-LT-0017,Mobile,RH,Direction,HIGH,Windows 11
AUTH004603,2026-03-02 09:23:15,AUTHENTICATION,VPN_CONNECT,MEDIUM,U0002,D0082,10.50.120.142,Bordeaux,SUCCESS,,,,,Direction,Analyst,ACTIVE,NO,Marseille,PHF-VM-0082,VM,IT,Juridique,HIGH,Windows Server 2022
AUTH000553,2026-03-02 09:26:08,AUTHENTICATION,LOGIN,LOW,U0289,D0193,10.43.79.233,Lyon,SUCCESS,,,,,IT,Coordinator,ACTIVE,NO,Lille,PHF-SRV-0193,Server,Regions,RH,CRITICAL,Windows 11
AUTH003886,2026-03-02 09:27:00,AUTHENTICATION,LOGOUT,LOW,U0094,D0018,10.39.73.223,Paris,SUCCESS,,,,,IT,Analyst,ACTIVE,NO,Paris,PHF-SRV-0018,VM,Direction,IT,LOW,macOS 14
AUTH000939,2026-03-02 09:34:00,AUTHENTICATION,VPN_CONNECT,LOW,U0315,D0170,10.42.58.5,Toulouse,SUCCESS,,,,,IT,Technician,ACTIVE,NO,Toulouse,PHF-LT-0170,VM,RH,RH,LOW,Windows Server 2019
AUTH000569,2026-03-02 09:35:00,AUTHENTICATION,VPN_CONNECT,LOW,U0374,D0142,10.8.171.90,Toulouse,SUCCESS,,,,,IT,Assistant,ACTIVE,NO,Paris,PHF-VM-0142,Mobile,Communication,Regions,CRITICAL,Ubuntu 22.04
AUTH002191,2026-03-02 09:35:38,AUTHENTICATION,MFA_CHALLENGE,MEDIUM,U0166,D0148,10.42.21.204,Nantes,FAILURE,,,,,Regions,Analyst,ACTIVE,NO,Nantes,PHF-LT-0148,Desktop,RH,Direction,CRITICAL,Windows Server 2022
AUTH001944,2026-03-02 09:44:35,AUTHENTICATION,LOGIN,MEDIUM,U0049,D0145,10.15.200.227,Lille,SUCCESS,,,,,Regions,Analyst,ACTIVE,NO,Lille,PHF-WS-0145,Mobile,RH,Direction,LOW,macOS 14
AUTH001010,2026-03-02 09:45:27,AUTHENTICATION,MFA_CHALLENGE,LOW,U0294,D0080,10.10.197.157,Lille,SUCCESS,,,,,Finance,Engineer,ACTIVE,NO,Toulouse,PHF-WS-0080,Mobile,Finance,Communication,CRITICAL,macOS 14
